FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,LAT,LON
1423264,Ledge Point,Cape,AK,2,Ketchikan Gateway,130,55.7061111,-130.8925
1424802,Mount Reid,Summit,AK,2,Ketchikan Gateway,130,55.7066667,-131.2477778
1423246,Gravelly Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.7075,-132.6069444
1418420,Chichagof Peak,Summit,AK,2,Aleutians East,13,55.7086111,-160.2055556
1421853,Falls Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.7091667,-132.6130556
1422706,Hut Point,Cape,AK,2,Ketchikan Gateway,130,55.7120358,-130.9028544
1419007,Orzinski Bay,Bay,AK,2,Aleutians East,13,55.7144444,-160.0569444
1418962,Noon Point,Cape,AK,2,Lake and Peninsula,164,55.7161111,-159.3986111
1422455,Harmony Islands,Island,AK,2,Prince of Wales-Hyder (CA),198,55.7161111,-133.41
1419299,Stepovak Bay,Bay,AK,2,Aleutians East,13,55.7166667,-159.8333333
1419298,Mount Stepo,Summit,AK,2,Aleutians East,13,55.7172222,-160.1766667
1415393,Traitors Cove,Bay,AK,2,Ketchikan Gateway,130,55.7191667,-131.6416667
1422008,Forss Cove,Bay,AK,2,Prince of Wales-Hyder (CA),198,55.7194444,-132.4582
1419459,Waterfall Point,Cape,AK,2,Aleutians East,13,55.7213889,-160.0175
1893467,Bald Mountain,Summit,AK,2,Prince of Wales-Hyder (CA),198,55.7217294,-133.5691016
1420212,Bald Mountain,Summit,AK,2,Prince of Wales-Hyder (CA),198,55.7219444,-133.5577778
1424012,Nossuk Bay,Bay,AK,2,Prince of Wales-Hyder (CA),198,55.7219444,-133.3477778
1405260,Leader Island,Island,AK,2,Lake and Peninsula,164,55.7227778,-159.4647222
1893674,Lake Bluff,Lake,AK,2,Ketchikan Gateway,130,55.7232389,-131.4834615
1421432,Derrumba Ridge,Ridge,AK,2,Prince of Wales-Hyder (CA),198,55.7244444,-133.6072222
1418638,Grass Valley,Valley,AK,2,Aleutians East,13,55.7252512,-160.659834
1415598,Walker Cove,Bay,AK,2,Ketchikan Gateway,130,55.7258333,-130.8183333
1424988,Black Bear Creek,Stream,AK,2,Wrangell,275,55.7258333,-132.1666667
1418649,Gull Point,Cape,AK,2,Aleutians East,13,55.7261111,-160.6763889
1418484,Deer Valley,Valley,AK,2,Aleutians East,13,55.7266151,-160.7884892
1405069,Kupreanof Peninsula,Cape,AK,2,Aleutians East,13,55.7266667,-159.5869444
1414428,Salamander Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.7268855,-132.4972007
1419980,Prince of Wales-Hyder Census Area,Civil,AK,2,Prince of Wales-Hyder (CA),198,55.7271705,-133.1930259
1414974,Staney Cone,Summit,AK,2,Prince of Wales-Hyder (CA),198,55.7291667,-133.1569444
1420741,Bushy Point,Cape,AK,2,Ketchikan Gateway,130,55.7294444,-131.7294444
1424597,Port Stewart,Bay,AK,2,Ketchikan Gateway,130,55.7297222,-131.8694444
1415722,White Cliff,Cliff,AK,2,Prince of Wales-Hyder (CA),198,55.7316667,-133.6394444
1421729,Emerald Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.732367,-133.6797425
1420742,Bushy Point Cove,Bay,AK,2,Ketchikan Gateway,130,55.7327778,-131.7269444
1423171,Kabanof Rocks,Bar,AK,2,Prince of Wales-Hyder (CA),198,55.7327778,-133.4188889
1415394,Traitors Creek,Stream,AK,2,Ketchikan Gateway,130,55.7333333,-131.5275
1895238,Kubanof Rock,Island,AK,2,Prince of Wales-Hyder (CA),198,55.7333333,-133.4194444
